"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,0.65,0,0,0,0.5,0.8
"2",0,0,0,0.1,0,0,0.15,0,0
"3",0,0.45,0,0,0,0.1,0.15,0,0
"4",0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,1,0
"6",0,0,0,0.05,0,0,0,0,0
"7",0.45,0,0.5,0,0,0,0,0,0.1
"8",0.05,0,0,0.8,0,0.05,0,0,0
"9",0.05,0,0.05,0,0,0.1,0,0.35,0
"10",0.05,0,0,0,0,0,0.6,0.3,0.55
"11",0,0,0,0,0,0,0,0.1,0.05
"12",0,0,0,0,1,0.1,0.4,0,0
"13",0,0,0.1,0.05,0.05,0.2,0,0,0
"14",0,0,0,0,0,0,0,0.45,0.05
"15",0.05,0,0,0,0.05,0,0,0.9,0.5
"16",0,0.55,0,0,0,0,0,0.05,0
"17",0,0,0,0,0.2,0.45,0.45,0.25,0.7
"18",0,0.05,0.05,0.6,0.2,0,0.6,0.4,0.05
"19",0.05,0,0,0,0,0,0,0,0.35
"20",0.7,0,0,0,0.05,0.1,0.6,0,0
"21",0.1,0,0.05,0.05,0,0,0.35,0,0.2
"22",0,0.05,0,0,0,0,0.4,0,0
"23",0.8,0,0,0,0.05,0,0.35,0,0
"24",0,0,0,0,0,0,0,0,0
"25",0.05,0,0,0,0,0.05,0,0.4,0
"26",0,0,0,0,0.7,0.45,0,0,0
"27",0,0,0,0,0,0,0,0,0.1
"28",0.25,0,0.05,0,0.1,0,0.55,0.1,0.2
"29",0,0,0,0,0,0,0.1,0,0
"30",0,0,0,0.05,0,0,0.85,0,0
"31",0.9,0,0,0,0,0.05,0,0.05,0.15
"32",0,0.05,0,0,0,0.05,0.15,0.35,0.65
"33",0,0.05,0,0,0,0.05,0,0,0
"34",0.25,0,0,0,0,0,0,0.1,0
"35",0,0,0,0,0.05,0.1,0.55,0,0.1
"36",0,0,0.05,0,0,0.3,0,0,0.4
"37",0,0,0,0.55,0,0,0,0,0
"38",0,0,0,0,0.05,0,0,0,0.1
"39",0,0,0.05,0,0,0,0,0,0.25
"40",0,0,0.05,0,0,0,0.3,0,0
"41",0,0,0.05,0,0,0,0,0,0.4
"42",0,0,0.35,0,0.05,0.25,0.45,0.55,0
"43",0.85,0,0.05,0.05,0,0,0.3,0,0.05
"44",0,0,0,0,0,0,0,0,0.35
"45",0,0,0,0,0.05,0.4,0.75,0.4,0.05
"46",0,0,0,0,0.05,0,0.1,0,0
"47",0,0.05,0.05,0.05,0.05,0,0,0,0
"48",0.25,0,0,0,0,0,0,0,0.15
"49",0,0,0,0.1,0.1,0,0,0,0
"50",0.75,0,0,0.05,0.9,0,0.8,0,0
"51",0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0.05,0.05,1
"53",0.15,0,0,0,0.05,0,0,0,0
"54",0,0,0.05,0,0,0,0.25,0,0.05
"55",0,0.05,0,0,0,0.05,0,0,0
"56",0,0,0,0,0,0,0.05,0,0
"57",0,0.05,0,0,0,0.35,0,0,0
"58",0,0,0,0.05,0,0,0,0.1,0.3
"59",0.55,0,0,0,0.05,0,0.05,0.05,0
"60",0,0,0.8,0,0,0,0.75,0.2,0
"61",0,0,0.05,0,0,0,0.05,0,0
"62",0,0,0,0,0.05,0.05,0,0.05,0.05
"63",0.1,0,0.95,0,0,0,0.45,0.65,0.2
"64",0,0,0,0.35,0,0,0.35,0,0.5
"65",0,0,0.2,0,0,0,0.05,0.05,0.4
"66",0,0,0.05,0,0,0,0.15,0.05,0
"67",0.6,0,0,0.05,0,0,0,0,0
"68",0,0,0.05,0,0,0,0.05,0,0
"69",0.9,0,0,0,0,0,0.05,0,0
"70",0.45,0,0.05,0,0,0.2,0,0,0.1
"71",0.25,0.1,0,0,0,0,0,0.25,0.25
"72",0,0.05,0,0,0,0.05,0.1,0.15,1
"73",0,0,0.05,0.55,0.05,0,0.05,0,0
"74",0,0.5,0,0.05,0,0.05,0,0,0
"75",1,0.05,0.05,0,0.05,0,0.45,0,0
"76",0,0,0.9,0,0,0,0,0.1,0.05
"77",0,0,0.05,0,0,0,0,0,0
"78",0.05,0,0,0,0,0,0.5,0,0
"79",0,0.05,0,0,0,0.05,0.1,0.6,0.3
"80",0,0,0,0,0,0,0,0.05,0
"81",0.6,0,0,0,0.1,0,0,0,0
"82",0.05,0,0.05,0,0,0,0,0.5,0
"83",0.05,0.05,0,0,0.05,0,0,0.25,0.05
"84",0,0,0,0.65,0,0,0,0,0
"85",0.8,0,0.05,0,0,0,0.05,0,0.05
"86",0,0,0,0,0,0,0,0.05,0.05
"87",0,0.05,0,0,0,0,0,0,0
"88",0,0,0.35,0,0,0,0,0.75,0
"89",0,0,0,0.35,0,0.05,0,0.05,0
"90",0,0,0,0,0,0,0,0.05,0
"91",0,0.05,0,0,0,0,0,0,0
"92",0.85,0,0.05,0.15,0,0,0,0,0.05
"93",0.5,0,0,0,0.05,0,0,0,0
"94",0.75,0.05,0,0,0,0,0,0.45,0
"95",0,0,0,0,0,0,0,0,0
"96",0,0.05,0.05,0.05,0,0,0,0.05,0
"97",0,0,0,0,0,0,0.05,0,0.1
"98",1,0,0,0,0,0.05,0,0.15,0
"99",0,0.1,0.05,0,0,0,0.05,0,0
"100",0,0,0,0,0,0.05,0,0,0.05
